Compound name;SMILES;Total Molweight;cLogP;H-Acceptors;H-Donors;sp3-Carbon Fraction;Metabolic pathway;Bioactivity;Species;Reference
Haliclonacyclamine E;[H][C@@]12C[N@]3C[C@@]([H])(C1)[C@@]1([H])CC[N@](C[C@]1([H])CCCCCC\C=C\C=C\CC3)CC\C=C/CCCCCC2;466.795;92.844;2;0;0.8125;Amino acids and Peptides/ Polyketides;Cytotoxicity against HL-60, L929, B16, and U138 cells. Cytoskeleton alterations.;Arenosclera brasiliensis (callyspongiidae);"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
Arenosclerin A;[H][C@@]12C[N@]3C[C@@]([H])(C1)[C@@]1([H])CC[N@](C[C@]1([H])CCCCCC\C=C\C=C\C(O)C3)CC\C=C/CCCCCC2;482.794;82.626;3;1;0.8125;Amino acids and Peptides/ Polyketides;Cytotoxicity against HL-60, L929, B16, and U138 cells. Cytoskeleton alterations.;Arenosclera brasiliensis (callyspongiidae);"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
Arenosclerin B;[H][C@]12C[N@@]3C[C@]([H])(C1)[C@@]1([H])CC[N@@](C[C@@]1([H])CCCCCC\C=C/C=C\C(O)C3)C\C=C/CCCCCCC2;482.794;82.626;3;1;0.8125;Alkaloids;Cytotoxicity against HL-60, L929, B16, and U138 cells. Cytoskeleton alterations.;Arenosclera brasiliensis (callyspongiidae);"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
Arenosclerin C;[H]C1C[N@]2C[C@]3([H])C[C@]([H])(C2)[C@@]2([H])CC[N@](C[C@]2([H])CCCCCC\C=C\C=C\1)CC\C=C/CCCCCC3;466.795;92.844;2;0;0.8125;Alkaloids;Cytotoxicity against HL-60, L929, B16, and U138 cells. Cytoskeleton alterations.;Arenosclera brasiliensis (callyspongiidae);"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
Geodiamolide A;C[C@@H]\1C[C@@H](OC(=O)[C@@H](NC(=O)[C@H](N(C(=O)[C@@H](NC(=O)[C@H](C/C(=C1)/C)C)C)C)CC2=CC(=C(C=C2)O)I)C)C;641.541;35.632;9;3;0.57143;Shikimates and Phenylpropanoids;Antiproliferative activity against T47D and MCF7 cells. Cytoskeleton alterations on actin backbone.;Geodia corticostylifera (Geodiidae);"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
Geodiamolide  B;C[C@@H]\1C[C@@H](OC(=O)[C@@H](NC(=O)[C@H](N(C(=O)[C@@H](NC(=O)[C@H](C/C(=C1)/C)C)C)C)CC2=CC(=C(C=C2)O)Br)C)C;594.545;38.513;9;3;0.57143;Alkaloids;Same as Geodiamolide A;Geodia corticostylifera (Geodiidae);"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
Geodiamolide  I;C[C@@H]\1C[C@@H](OC(=O)C[C@@H](NC(=O)[C@H](N(C(=O)[C@@H](NC(=O)[C@H](C/C(=C1)/C)C)C)C)CC2=CC(=C(C=C2)O)Br)C3=CC=C(C=C3)O)C;686.641;48.992;10;4;0.47059;Alkaloids;Same as Geodiamolide A;Geodia corticostylifera (Geodiidae);"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
8bβ-hydroxyptilocaulin;CCCCC1=C2NC(N)=NCC2(O)CCC1C;237.346;16.121;4;3;0.76923;Alkaloids;Same as Geodiamolide A;Monanchora arbuscula (Crambeidae);"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
Ptilocaulin;CCCCC1=C2[C@@H]3[C@@H](CC[C@@H]3N=C(N2)N)C[C@@H]1C;247.385;27.363;3;2;0.8;Alkaloids;Cytotoxicity against HL-60, MDA‑MB‑435, HCT-8, and SF-295 cells. Apoptosis induction.;Monanchora arbuscula (Crambeidae);"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
Haliclonacyclamine F;C1CCC[C@@H]2C[C@H]3CN(C2)CC/C=C\C/C=C\CCCCC[C@@H]4[C@@H]3CCN(C4)CC/C=C\CC1;466.795;92.844;2;0;0.8125;Alkaloids;Cytotoxicity against HL-60, MDA‑MB‑435, HCT-8, and SF-295 cells. Apoptosis induction.;Pachychalina alcaloidifera (Niphatidae);"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
Arenosclerin D;C1CCC[C@H]2CN3CC/C=C\CCCCCCC4C[C@H]([C@H]2CC3)CN(C4)CC(/C=C\C=C/CC1)O;482.794;82.626;3;1;0.8125;Alkaloids;Cytotoxic activities against SF 295, MDA‑MB‑435, HCT-8, and HL-60 cells.;Pachychalina alcaloidifera (Niphatidae);"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
Madangamine F;C1CCCCCCN2CC3[C@H](/C/4=C\C/C=C/C=C\C=C/CCN5C4CC3C(C2)(C5)CCCCC1)O;478.762;80.184;3;1;0.75;Terpenoids;Same as Haliclonacyclamine F;Pachychalina alcaloidifera (Niphatidae);"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
Ingenamine G;C1CCCCCC2=CC3CN4C2C5(C3CCN(C5)CC/C=C\CCCC1)CC(/C=C\C=C/CC4)O;478.762;78.371;3;1;0.75;Terpenoids;Same as Haliclonacyclamine F;Pachychalina alcaloidifera (Niphatidae);"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
Spongosoritin A (dihydrofuran);CC/C=C/[C@H](CC)C[C@@]1(C=C(/C(=C/C(=O)OC)/O1)CC)C;292.417;44.996;3;0;0.61111;Terpenoids;Same as Haliclonacyclamine F;Plakortis angulospiculatus (Plakinidae);"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
6-desmethyl-6-ethylspongosoritin A (dihydrofuran);CC\C=C\[C@H](CC)C[C@@]1(C)O\C(=C\C(=O)OC)C(CC)=C1;292.417;44.996;3;0;0.61111;Terpenoids;Cytotoxicity against HCT-116 and PC-3M cell lines. Cell cycle modifications depending on structural characteristics: dihydrofurans induce G0/G1 arrest and 6-membered peroxides (plakortides) deliver a G2/M arrest.;Plakortis angulospiculatus (Plakinidae);"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
Plakortide P;CC/C=C/[C@H](CC)C/C(=C/[C@]1(C[C@@H]([C@@H](OO1)CC(=O)O)CC)CC)/CC;366.54;67.601;4;1;0.77273;Terpenoids;Same as Spongosoritin A;Plakortis angulospiculatus (Plakinidae);"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
18-acetoxipregna-1,4,20- trien-3-one;CC(=O)OC[C@]12CCC3C(CCC4=CC(=O)C=C[C@]34C)C1CC[C@@H]2C=C;354.488;4.169;3;0;0.65217;Terpenoids;Same as Spongosoritin A. Antiparasitic activity. ;Carijoa riisei (Clavulariidae);"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
3-O-methyl-amphidinolide P;CO[C@@]12CC(=C)C[C@@H](O1)[C@H]1O[C@@H]1CC(=C)\C=C\[C@@H](OC(=O)C2)[C@@H](C)C(C)=C;374.475;42.604;5;0;0.59091;Alkaloids;Cytotoxicity against SF-295, MDA‑MB‑435, HCT-8, and HL-60.;Stragulum bicolor van (Clavulariidae);"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
Punicinol A;[H]N1C(=O)C2=C3C4=CC([H])=C(O)C=C4N4[C@H]5C[C@@H](NC)[C@@H](OC)[C@](C)(O5)N5C6=C(C=CC=C6)C(C5=C34)=C2C1=O;496.522;42.643;9;3;0.28571;Alkaloids;Cytotoxicity against HCT 116.;Leptogorgia punicea (Gorgoniidae);"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
Punicinol B;[H]C1C[C@]2(CO)[C@]([H])(CC[C@@]2([H])[C@]2(C)C[C@@H](OC(C)=O)[C@@]3(O)C[C@@H](O)CC[C@]3(C)[C@@]12[H])[C@H](C)CCCC(C)C;492.738;55.009;5;3;0.96667;Terpenoids;Cytotoxic activity against A549. A synergistic effect of these compounds with paclitaxel was observed.;Leptogorgia punicea (Gorgoniidae);"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
Punicinol C;[H]C[C@]12C[C@H](O)[C@@]3([H])[C@@](C)(C[C@@H](OC(C)=O)[C@@]4(O)C[C@@H](O)CC[C@]34C)[C@]1([H])CC[C@]2([H])[C@H](C)\C=C\CC(C)C;490.722;53.233;5;3;0.9;Terpenoids;Same as Punicinol A;Leptogorgia punicea (Gorgoniidae);"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
Punicinol D;[H]C[C@]12C[C@H](O)[C@@]3([H])[C@@](C)(C[C@@H](OC(C)=O)[C@@]4(O)C[C@@H](O)CC[C@]34C)[C@]1([H])CC[C@]2([H])[C@H](C)\C=C\C(C)C;476.695;48.689;5;3;0.89655;Polyketides;Same as Punicinol A;Leptogorgia punicea (Gorgoniidae);"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
Punicinol E;[H]C1C[C@]2(CO)[C@]([H])(CC[C@@]2([H])[C@]2(C)C[C@@H](OC(C)=O)[C@@]3(O)C[C@@H](O)CC[C@]3(C)[C@@]12[H])[C@H](C)\C=C\CC(C)C;490.722;52.487;5;3;0.9;Alkaloids;Same as Punicinol A;Leptogorgia punicea (Gorgoniidae);"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
Bc2;CO[C@H]1[C@@H](OC)C[C@H](C)[C@@H](OC)C2=CC(=O)C=C(NC(=O)/C(C)=C/C=C\[C@H](C)[C@@H](OC(N)=O)/C(C)=C/[C@@H]1C)C2=O;558.669;35.893;10;2;0.53333;Terpenoids;Same as Punicinol A;Bunodosoma caissarum (Actiniidae);"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
6β-Carboxyl- 24(R)-(8 → 6)-abeoergostan-3β,5β-diol;[H][C@@]12CC[C@H]([C@H](C)CC[C@H](C)C(C)C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@H](C(O)=O)[C@]2(O)C[C@@H](O)CC[C@]12C;448.685;53.329;4;3;0.96429;Alkaloids;Cytotoxicity against U87 and A172, either wild type or p53 mutant. Pore formation on cell membrane. Cytotoxicity occurs potentiated when combined with approved chemotherapeutic agents (AraC, doxorubicin, and vincristine).;Palythoa variabilis (Sphenopidae);"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
LAA 1;CCCCCCCCCCCCCCCCCCCCCCCCCCCCC(N)C(O)=O;467.819;92.777;3;2;0.96667;Terpenoids;Ergostan: cytotoxicity against HCT 116.;Palythoa variabilis (Sphenopidae);"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
LAA 2;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(N)C(O)=O;481.846;97.321;3;2;0.96774;Terpenoids;Cytotoxicity against SF-295, HCT-8, and HL-60. Apoptosis induction on HL-60 cells.;Palythoa variabilis (Sphenopidae);"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
Chromomycin A5;C[C@@H]1[C@H]([C@@H](C[C@@H](O1)OC2C(CC3=C(C2=O)C(=C4C(=C3)C=C(C(=C4O)C)O[C@H]5C[C@H]([C@H]([C@H](O5)C)OC(=O)C)O[C@@H]6C[C@H]([C@H]([C@H](O6)C)OC)O)O)[C@@H](C(=O)[C@H]([C@@H](C)O)O)OC)O[C@H]7C[C@H]([C@@H]([C@H](O7)C)O)O[C@H]8C[C@]([C@H]([C@@H](O8)C)OC(=O)C(C)C)(C)O)O;1211.31;22.352;26;8;0.76271;Terpenoids;Cytotoxicity against SF-295, HCT-8, and HL-60. Apoptosis induction on HL-60 cells.;Streptomyces sp. BRA-384 isolated from Palythoa caribaeorum (Sphenopidae);"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
Chromomycin A6;CO[C@@H](C1CC2=C(C(=O)C1O[C@H]1C[C@@H](O[C@H]3C[C@@H](O[C@H]4C[C@](C)(O)[C@@H](OC(C)=O)[C@H](C)O4)[C@H](O)[C@@H](C)O3)[C@H](O)[C@@H](C)O1)C(O)=C1C(O)=C(C)C(O[C@H]3C[C@@H](O[C@@H]4C[C@@H](O)[C@@H](OC)[C@@H](C)O4)[C@@H](OC(C)=O)[C@@H](C)O3)=CC1=C2)C(=O)[C@@H](O)[C@@H](C)O;1183.25;15.625;26;8;0.75439;Terpenoids;Cytotoxicity against 501mel and WM293A, RD, RH30, MCF-7, HCT 116, and PC-3M. Chromomycins A5 and A6 bind to TBX2 transcription factor;Streptomyces sp. BRA-384 isolated from Palythoa caribaeorum (Sphenopidae);"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
Chromomycin A7;CCC(=O)O[C@H]1[C@H](C)O[C@H](C[C@]1(C)O)O[C@@H]1C[C@H](O[C@@H]2C[C@H](OC3C(CC4=C(C3=O)C(O)=C3C(O)=C(C)C(O[C@H]5C[C@@H](O[C@@H]6C[C@@H](O)[C@@H](OC)[C@@H](C)O6)[C@@H](OC(C)=O)[C@@H](C)O5)=CC3=C4)[C@H](OC)C(=O)[C@@H](O)[C@@H](C)O)O[C@H](C)[C@H]2O)O[C@H](C)[C@H]1O;1197.28;20.169;26;8;0.75862;Shikimates and Phenylpropanoids;Same as Chromomycin A5;Streptomyces sp. BRA-384 isolated from Palythoa caribaeorum (Sphenopidae);"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
Chromomycin A8;CCC(=O)O[C@H]1[C@@H](C)O[C@H](C[C@H]1O[C@@H]1C[C@@H](O)[C@@H](OC)[C@@H](C)O1)OC1=CC2=CC3=C(C(=O)C(O[C@H]4C[C@@H](O[C@H]5C[C@@H](O[C@H]6C[C@](C)(O)[C@@H](OC(=O)C(C)C)[C@H](C)O6)[C@H](O)[C@@H](C)O5)[C@H](O)[C@@H](C)O4)C(C3)[C@H](OC)C(=O)[C@@H](O)[C@@H](C)O)C(O)=C2C(O)=C1C;1225.33;26.896;26;8;0.76667;Terpenoids;Same as Chromomycin A5;Streptomyces sp. BRA-384 isolated from Palythoa caribaeorum (Sphenopidae);"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
Sebastianine A;C1=CC=C2C(=C1)C3=C4C(=N2)C5=C(C(=O)C4=NC=C3)NC=C5;271.278;26.069;4;1;0;Terpenoids;Same as Chromomycin A5;Cystodytes dellechiajei (Polycitoridae);"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
Sebastianine B;CC(C)[C@@H]1C(=O)N2CCC3=C2[C@@](O1)(C4=NC=CC5=C4C3=NC6=CC=CC=C56)O;373.411;22.675;6;1;0.31818;Polyketides;Cytotoxicity against HCT 116 p53+/+, HCT 116 p53−/−, HCT 116 p21+/+, and HCT 116 p21−/− cells. Indication of a p53- dependent mechanism of cell death.;Cystodytes dellechiajei (Polycitoridae);"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
Granulatimide;C1=CC=C2C(=C1)C3=C4C(=C5C(=C3N2)NC=N5)C(=O)NC4=O;276.255;16.966;6;3;0;Polyketides;Same as Sebastianine A.;Didemnum granulatum (Didemnidae);"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
Isogranulatimide;C1=CC=C2C(=C1)C3=C4C(=C(NC4=O)O)C5=CN=CN5C3=N2;276.255;0.5893;6;2;0;Polyketides;G2-checkpoint arrest in MCF-7 mp53 cells. Inhibition of kinases Chk1 and Cdk1.;Didemnum granulatum (Didemnidae);"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
Methyl myristate;CCCCCCCCCCCCCC(=O)OC;242.401;55.816;2;0;0.93333;Alkaloids;Same as Granulatimide;Didemnum psammatodes (Didemnidae);"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
Methyl palmitate;CCCCCCCCCCCCCCCC(=O)OC;270.455;64.904;2;0;0.94118;Alkaloids;Cytotoxicity against leukemia cell lines HL-60, Molt-4, CEM, and K562. Indication of induction of programmed and accidental cell death on HL-60 cell line.;Didemnum psammatodes (Didemnidae);"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
Methyl stearate;CCCCCCCCCCCCCCCCCC(=O)OC;298.509;73.992;2;0;0.94737;Alkaloids;Same as Methyl myristate;Didemnum psammatodes (Didemnidae);"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
1,2-propanediol, 3-(heptadecyloxy);CCCCCCCCCCCCCCCCCOCC(O)CO;330.55;62.066;3;2;1;Carbohydrates;Same as Methyl myristate;Didemnum psammatodes (Didemnidae);"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
Batyl alcohol;CCCCCCCCCCCCCCCCCCOCC(CO)O;344.577;6.661;3;2;1;Fatty acids;Same as Methyl myristate;Didemnum psammatodes (Didemnidae);"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
1,2- propanediol, 3-[(methyloctadecyl)oxy];CCCCCCCCCCCCCCCCCCCOCC(O)CO;358.604;71.154;3;2;1;Fatty acids;Same as Methyl myristate;Didemnum psammatodes (Didemnidae);"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
